holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2021,1.0,2,fixed,icg,1783,365,1149,0.0000,-4.2154,0.620992,0,5.10051,31.4
2020,0.4,0,legacy,blind,1417,366,910,1.2183,465424441086676928.0000,-1.691584,1,1e+08,22.0
2020,0.4,0,legacy,tobit,1417,366,910,1.2183,-9.4277,-0.490308,0,1e+08,23.8
2020,0.4,0,legacy,icg,1417,366,910,1.2183,-14.0840,0.961162,0,1e+08,27.1
2020,0.4,1,legacy,blind,1417,366,921,1.2485,465424441086676928.0000,-1.659432,1,1e+08,21.9
2020,0.4,1,legacy,tobit,1417,366,921,1.2485,-9.9372,-0.429229,0,1e+08,23.1
2020,0.4,1,legacy,icg,1417,366,921,1.2485,465424441086676928.0000,1.102450,1,1e+08,26.3
2020,0.4,2,legacy,blind,1417,366,955,1.0514,-14.2597,-1.681706,0,1e+08,23.4
2020,0.4,2,legacy,tobit,1417,366,955,1.0514,465424441086676928.0000,-0.431882,1,1e+08,24.1
2020,0.4,2,legacy,icg,1417,366,955,1.0514,-13.7368,1.153662,0,1e+08,27.2
2020,0.6,0,legacy,blind,1417,366,910,0.8122,465424441086676928.0000,-1.727691,1,1e+08,22.3
2020,0.6,0,legacy,tobit,1417,366,910,0.8122,-9.1556,-0.471595,0,1e+08,23.5
2020,0.6,0,legacy,icg,1417,366,910,0.8122,465424441086676928.0000,0.737788,1,1e+08,26.3
2020,0.6,1,legacy,blind,1417,366,921,0.8323,465424441086676928.0000,-1.701703,1,1e+08,23.0
2020,0.6,1,legacy,tobit,1417,366,921,0.8323,-9.7205,-0.416621,0,1e+08,23.3
2020,0.6,1,legacy,icg,1417,366,921,0.8323,465424441086676928.0000,0.860648,1,1e+08,25.7
2020,0.6,2,legacy,blind,1417,366,955,0.7009,-14.1275,-1.712602,0,1e+08,22.1
2020,0.6,2,legacy,tobit,1417,366,955,0.7009,465424441086676928.0000,-0.411847,1,1e+08,24.5
2020,0.6,2,legacy,icg,1417,366,955,0.7009,-13.2917,0.912379,0,1e+08,27.0
2020,1.0,0,legacy,blind,1417,366,910,0.0000,465424441086676928.0000,-1.781214,1,1e+08,23.0
2020,1.0,0,legacy,tobit,1417,366,910,0.0000,-8.3259,-0.428279,0,1e+08,24.2
2020,1.0,0,legacy,icg,1417,366,910,0.0000,465424441086676928.0000,0.545814,1,1e+08,25.7
2020,1.0,1,legacy,blind,1417,366,921,0.0000,-13.6531,-1.751153,0,1e+08,21.9
2020,1.0,1,legacy,tobit,1417,366,921,0.0000,465424441086676928.0000,-0.375969,1,1e+08,23.9
2020,1.0,1,legacy,icg,1417,366,921,0.0000,465424441086676928.0000,0.641258,1,1e+08,25.8
2020,1.0,2,legacy,blind,1417,366,955,0.0000,465424441086676928.0000,-1.748603,1,1e+08,21.9
2020,1.0,2,legacy,tobit,1417,366,955,0.0000,465424441086676928.0000,-0.362512,1,1e+08,23.9
2020,1.0,2,legacy,icg,1417,366,955,0.0000,465424441086676928.0000,0.682879,1,1e+08,26.9
