holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2021,1.0,2,fixed,icg,1783,365,1149,0.0000,-4.2463,0.621104,0,5.10051,38.5
2020,0.4,0,legacy,blind,1417,366,910,1.2186,465622308653848384.0000,-1.692055,1,1e+08,32.0
2020,0.4,0,legacy,tobit,1417,366,910,1.2186,465622308653848384.0000,-0.489585,1,1e+08,41.3
2020,0.4,0,legacy,icg,1417,366,910,1.2186,-14.0494,0.962200,0,1e+08,46.3
2020,0.4,1,legacy,blind,1417,366,921,1.2487,465622308653848384.0000,-1.659961,1,1e+08,16.8
2020,0.4,1,legacy,tobit,1417,366,921,1.2487,-9.9168,-0.429264,0,1e+08,18.5
2020,0.4,1,legacy,icg,1417,366,921,1.2487,465622308653848384.0000,1.099390,1,1e+08,31.5
2020,0.4,2,legacy,blind,1417,366,955,1.0513,465622308653848384.0000,-1.691372,1,1e+08,27.0
2020,0.4,2,legacy,tobit,1417,366,955,1.0513,465622308653848384.0000,-0.433447,1,1e+08,30.2
2020,0.4,2,legacy,icg,1417,366,955,1.0513,-13.7120,1.156640,0,1e+08,35.3
2020,0.6,0,legacy,blind,1417,366,910,0.8124,465622308653848384.0000,-1.726781,1,1e+08,40.9
2020,0.6,0,legacy,tobit,1417,366,910,0.8124,-9.1146,-0.472064,0,1e+08,24.8
2020,0.6,0,legacy,icg,1417,366,910,0.8124,465622308653848384.0000,0.740018,1,1e+08,23.7
2020,0.6,1,legacy,blind,1417,366,921,0.8325,465622308653848384.0000,-1.703892,1,1e+08,35.5
2020,0.6,1,legacy,tobit,1417,366,921,0.8325,-9.7049,-0.417146,0,1e+08,39.9
2020,0.6,1,legacy,icg,1417,366,921,0.8325,465622308653848384.0000,0.862311,1,1e+08,53.6
2020,0.6,2,legacy,blind,1417,366,955,0.7009,465622308653848384.0000,-1.720505,1,1e+08,31.2
2020,0.6,2,legacy,tobit,1417,366,955,0.7009,465622308653848384.0000,-0.412086,1,1e+08,42.6
2020,0.6,2,legacy,icg,1417,366,955,0.7009,-13.2720,0.910894,0,1e+08,48.9
2020,1.0,0,legacy,blind,1417,366,910,0.0000,465622308653848384.0000,-1.782547,1,1e+08,30.5
2020,1.0,0,legacy,tobit,1417,366,910,0.0000,-8.2740,-0.428989,0,1e+08,44.2
2020,1.0,0,legacy,icg,1417,366,910,0.0000,465622308653848384.0000,0.544613,1,1e+08,51.6
2020,1.0,1,legacy,blind,1417,366,921,0.0000,-13.6016,-1.756858,0,1e+08,32.7
2020,1.0,1,legacy,tobit,1417,366,921,0.0000,465622308653848384.0000,-0.375852,1,1e+08,27.5
2020,1.0,1,legacy,icg,1417,366,921,0.0000,465622308653848384.0000,0.640231,1,1e+08,40.6
2020,1.0,2,legacy,blind,1417,366,955,0.0000,465622308653848384.0000,-1.750783,1,1e+08,34.0
2020,1.0,2,legacy,tobit,1417,366,955,0.0000,465622308653848384.0000,-0.363119,1,1e+08,37.1
2020,1.0,2,legacy,icg,1417,366,955,0.0000,465622308653848384.0000,0.682706,1,1e+08,64.5
