date,G,Dpub,S,slots,shed,T2M,RH2M,T2M_MAX,trend,cdd,cdd2,cdd_rh,tmax,sin1,cos1,sin2,cos2,weekend,dow1,dow2,dow3,dow4,dow5,dow6,covid,gdp_growth,log_gdp
2023-10-18,280528.5,283501.0,2832.0,24,True,26.22260296152196,77.51501718794367,30.10679065749171,8.498288843258042,8.222602961521961,67.61119946282972,6.373752098920113,30.10679065749171,-0.957232443323312,0.28931997761869527,-0.5538929381563792,-0.8325879011014353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-19,275998.0,278065.5,1973.5,24,True,25.481543954616576,82.05696398687796,29.430416618838468,8.501026694045175,7.481543954616576,55.97349994485984,6.139127828502169,29.430416618838468,-0.9521140536681102,0.3057430764672831,-0.5822045598324479,-0.8130423423846421,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-20,248568.5,249900.5,1271.5,24,True,25.039798638255714,83.07107145230572,29.666107912495548,8.503764544832306,7.039798638255714,49.55876486718701,5.848036156883849,29.666107912495548,-0.9467139181463862,0.3220757010206104,-0.6098270977059321,-0.7925344856241648,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-21,261157.0,262571.0,920.0,24,True,25.161277163898674,79.61888649915721,30.04824133202033,8.506502395619439,7.161277163898674,51.28389061817664,5.70172913701455,30.04824133202033,-0.9410336347451197,0.3383130181923076,-0.636727858382198,-0.7710886034432227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-22,266956.5,270961.5,3825.0,24,True,25.561238438162672,77.61179811869044,29.91800716516738,8.509240246406572,7.561238438162672,57.17232671874868,5.868413111899636,29.91800716516738,-0.9350748843515574,0.3544502230989869,-0.6628750027453377,-0.7487300786901568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.77511237007889,26.501784586080163
2023-10-23,262837.5,264531.0,1616.0,24,True,25.559374286352956,82.6181356669466,29.442203440005322,8.511978097193703,7.559374286352956,57.14413960117426,6.245414103471361,29.442203440005322,-0.9288394302558068,0.3704825404820963,-0.6882375836422284,-0.7254853743958638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-24,242814.5,242860.5,42.5,24,True,24.969373984280132,89.01766775614264,28.026257801030674,8.514715947980836,6.969373984280132,48.572173732760724,6.2039741780095286,28.026257801030674,-0.9223291176290545,0.3864052261209853,-0.7127855825108473,-0.7013820024527804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-25,249948.5,250294.5,330.0,24,True,25.763466285652147,84.71821517251378,29.665508841671553,8.517453798767967,7.763466285652147,60.27140876845754,6.577070072724349,29.665508841671553,-0.9155458729775467,0.40221356823680365,-0.7364899449095569,-0.6764484910524361,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-26,260375.5,261142.5,732.0,24,True,26.061442639391505,80.14791400590855,29.622428907160938,8.5201916495551,8.061442639391505,64.98685742819947,6.461078114255147,29.622428907160938,-0.9084917035725082,0.41790288888678667,-0.7593226149052589,-0.6507143509201561,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
2023-10-27,238590.0,238738.5,141.0,24,True,25.102640901868618,80.1745887278505,29.082782936510334,8.522929500342231,7.102640901868618,50.447507780897055,5.694513131889256,29.082782936510334,-0.9011686968561569,0.4334685453485363,-0.7812565682797488,-0.6242100403868479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.77511237007889,26.501784586080163
